 Observation        Forecast            North-Hemispheric-Power-Index    South-Hemispheric-Power-Index-GigaWatts

2022-10-17_00:00    2022-10-17_00:43      25      24
2022-10-17_00:05    2022-10-17_00:48      24      23
2022-10-17_00:10    2022-10-17_00:52      23      22
2022-10-17_00:15    2022-10-17_00:57      22      21
2022-10-17_00:20    2022-10-17_01:02      21      20
2022-10-17_00:25    2022-10-17_01:07      20      20
2022-10-17_00:30    2022-10-17_01:12      21      20
2022-10-17_00:35    2022-10-17_01:17      21      20
2022-10-17_00:40    2022-10-17_01:22      21      20
2022-10-17_00:45    2022-10-17_01:27      21      20
2022-10-17_00:50    2022-10-17_01:32      21      20
2022-10-17_00:55    2022-10-17_01:37      21      20
2022-10-17_01:00    2022-10-17_01:42      21      21
2022-10-17_01:05    2022-10-17_01:47      22      21
2022-10-17_01:10    2022-10-17_01:52      22      21
2022-10-17_01:15    2022-10-17_01:57      22      21
2022-10-17_01:20    2022-10-17_02:02      22      22
2022-10-17_01:25    2022-10-17_02:07      23      22
2022-10-17_01:30    2022-10-17_02:13      23      23
2022-10-17_01:35    2022-10-17_02:18      24      23
2022-10-17_01:40    2022-10-17_02:23      24      23
2022-10-17_01:45    2022-10-17_02:28      24      23
2022-10-17_01:50    2022-10-17_02:33      24      23
2022-10-17_01:55    2022-10-17_02:38      24      23
2022-10-17_02:00    2022-10-17_02:43      24      23
2022-10-17_02:05    2022-10-17_02:47      23      22
2022-10-17_02:10    2022-10-17_02:52      23      23
2022-10-17_02:15    2022-10-17_02:57      23      23
2022-10-17_02:20    2022-10-17_03:02      24      23
2022-10-17_02:25    2022-10-17_03:07      24      24
2022-10-17_02:30    2022-10-17_03:12      24      24
2022-10-17_02:35    2022-10-17_03:17      25      24
2022-10-17_02:40    2022-10-17_03:22      24      24
2022-10-17_02:45    2022-10-17_03:27      25      24
2022-10-17_02:50    2022-10-17_03:32      25      24
2022-10-17_02:55    2022-10-17_03:37      25      24
2022-10-17_03:00    2022-10-17_03:42      25      24
2022-10-17_03:05    2022-10-17_03:48      25      25
2022-10-17_03:10    2022-10-17_03:53      26      25
2022-10-17_03:15    2022-10-17_03:58      25      24
2022-10-17_03:20    2022-10-17_04:03      25      24
2022-10-17_03:25    2022-10-17_04:08      25      24
2022-10-17_03:30    2022-10-17_04:13      25      24
2022-10-17_03:35    2022-10-17_04:18      24      24
2022-10-17_03:40    2022-10-17_04:23      24      23
2022-10-17_03:45    2022-10-17_04:28      23      22
2022-10-17_03:50    2022-10-17_04:33      23      22
2022-10-17_03:55    2022-10-17_04:38      22      22
2022-10-17_04:00    2022-10-17_04:43      22      22
2022-10-17_04:05    2022-10-17_04:48      22      22
2022-10-17_04:10    2022-10-17_04:53      23      22
2022-10-17_04:15    2022-10-17_04:58      23      22
2022-10-17_04:20    2022-10-17_05:03      23      22
2022-10-17_04:25    2022-10-17_05:08      23      22
2022-10-17_04:30    2022-10-17_05:12      22      21
2022-10-17_04:35    2022-10-17_05:17      22      22
2022-10-17_04:40    2022-10-17_05:22      22      22
2022-10-17_04:45    2022-10-17_05:28      22      21
2022-10-17_04:50    2022-10-17_05:33      22      21
2022-10-17_04:55    2022-10-17_05:38      21      20
2022-10-17_05:00    2022-10-17_05:43      21      20
2022-10-17_05:05    2022-10-17_05:48      21      20
2022-10-17_05:10    2022-10-17_05:53      21      20
2022-10-17_05:15    2022-10-17_05:58      21      20
2022-10-17_05:20    2022-10-17_06:03      20      20
2022-10-17_05:25    2022-10-17_06:08      20      20
2022-10-17_05:30    2022-10-17_06:13      20      20
2022-10-17_05:35    2022-10-17_06:18      21      20
2022-10-17_05:40    2022-10-17_06:23      21      20
2022-10-17_05:45    2022-10-17_06:28      21      20
2022-10-17_05:50    2022-10-17_06:33      21      20
2022-10-17_05:55    2022-10-17_06:38      21      21
2022-10-17_06:00    2022-10-17_06:44      22      21
2022-10-17_06:05    2022-10-17_06:49      22      21
2022-10-17_06:10    2022-10-17_06:54      22      22
2022-10-17_06:15    2022-10-17_06:59      22      22
2022-10-17_06:20    2022-10-17_07:04      22      22
2022-10-17_06:25    2022-10-17_07:09      22      22
2022-10-17_06:30    2022-10-17_07:15      22      22
2022-10-17_06:35    2022-10-17_07:20      22      21
2022-10-17_06:40    2022-10-17_07:25      21      21
2022-10-17_06:45    2022-10-17_07:30      21      20
2022-10-17_06:50    2022-10-17_07:35      20      20
2022-10-17_06:55    2022-10-17_07:40      20      19
2022-10-17_07:00    2022-10-17_07:45      19      19
2022-10-17_07:05    2022-10-17_07:50      19      18
2022-10-17_07:10    2022-10-17_07:55      18      18
2022-10-17_07:15    2022-10-17_08:00      19      18
2022-10-17_07:20    2022-10-17_08:04      19      18
2022-10-17_07:25    2022-10-17_08:09      18      18
2022-10-17_07:30    2022-10-17_08:14      18      18
2022-10-17_07:35    2022-10-17_08:18      18      17
2022-10-17_07:40    2022-10-17_08:23      18      17
2022-10-17_07:45    2022-10-17_08:28      18      17
2022-10-17_07:50    2022-10-17_08:32      17      17
2022-10-17_07:55    2022-10-17_08:37      17      17
2022-10-17_08:00    2022-10-17_08:42      17      17
2022-10-17_08:05    2022-10-17_08:47      17      16
2022-10-17_08:10    2022-10-17_08:52      16      16
2022-10-17_08:15    2022-10-17_08:57      16      16
2022-10-17_08:20    2022-10-17_09:02      16      16
2022-10-17_08:25    2022-10-17_09:06      16      16
2022-10-17_08:30    2022-10-17_09:12      16      15
2022-10-17_08:35    2022-10-17_09:16      15      15
2022-10-17_08:40    2022-10-17_09:21      15      15
2022-10-17_08:45    2022-10-17_09:26      15      15
2022-10-17_08:50    2022-10-17_09:31      15      15
2022-10-17_08:55    2022-10-17_09:37      15      15
2022-10-17_09:00    2022-10-17_09:41      15      14
2022-10-17_09:05    2022-10-17_09:46      14      14
2022-10-17_09:10    2022-10-17_09:51      14      14
2022-10-17_09:15    2022-10-17_09:56      14      14
2022-10-17_09:20    2022-10-17_10:01      14      14
2022-10-17_09:25    2022-10-17_10:07      14      14
2022-10-17_09:30    2022-10-17_10:12      14      14
2022-10-17_09:35    2022-10-17_10:17      14      14
2022-10-17_09:40    2022-10-17_10:22      14      14
2022-10-17_09:45    2022-10-17_10:27      14      14
2022-10-17_09:50    2022-10-17_10:32      14      13
2022-10-17_09:55    2022-10-17_10:37      13      13
2022-10-17_10:00    2022-10-17_10:42      13      13
2022-10-17_10:05    2022-10-17_10:47      13      13
2022-10-17_10:10    2022-10-17_10:52      13      13
2022-10-17_10:15    2022-10-17_10:58      13      13
2022-10-17_10:20    2022-10-17_11:03      14      13
2022-10-17_10:25    2022-10-17_11:08      14      14
2022-10-17_10:30    2022-10-17_11:13      14      14
2022-10-17_10:35    2022-10-17_11:18      14      14
2022-10-17_10:40    2022-10-17_11:23      14      14
2022-10-17_10:45    2022-10-17_11:28      14      13
2022-10-17_10:50    2022-10-17_11:33      14      13
2022-10-17_10:55    2022-10-17_11:38      14      13
2022-10-17_11:00    2022-10-17_11:43      14      14
2022-10-17_11:05    2022-10-17_11:48      14      14
2022-10-17_11:10    2022-10-17_11:53      14      13
2022-10-17_11:15    2022-10-17_11:58      13      13
2022-10-17_11:20    2022-10-17_12:03      13      13
2022-10-17_11:25    2022-10-17_12:09      13      13
2022-10-17_11:30    2022-10-17_12:14      13      13
2022-10-17_11:35    2022-10-17_12:19      13      13
2022-10-17_11:40    2022-10-17_12:24      13      13
2022-10-17_11:45    2022-10-17_12:29      13      13
2022-10-17_11:50    2022-10-17_12:34      13      13
2022-10-17_11:55    2022-10-17_12:39      13      13
2022-10-17_12:00    2022-10-17_12:44      13      13
2022-10-17_12:05    2022-10-17_12:49      13      13
2022-10-17_12:10    2022-10-17_12:54      13      13
2022-10-17_12:15    2022-10-17_12:59      13      12
2022-10-17_12:20    2022-10-17_13:04      12      12
2022-10-17_12:25    2022-10-17_13:09      12      12
2022-10-17_12:30    2022-10-17_13:14      12      12
2022-10-17_12:35    2022-10-17_13:19      12      12
2022-10-17_12:40    2022-10-17_13:24      12      12
2022-10-17_12:45    2022-10-17_13:29      12      12
2022-10-17_12:50    2022-10-17_13:34      12      12
2022-10-17_12:55    2022-10-17_13:39      12      12
2022-10-17_13:00    2022-10-17_13:44      13      13
2022-10-17_13:05    2022-10-17_13:49      15      14
2022-10-17_13:10    2022-10-17_13:55      16      15
2022-10-17_13:15    2022-10-17_14:00      17      16
2022-10-17_13:20    2022-10-17_14:05      17      17
2022-10-17_13:25    2022-10-17_14:10      19      18
2022-10-17_13:30    2022-10-17_14:15      21      20
2022-10-17_13:35    2022-10-17_14:20      20      20
2022-10-17_13:40    2022-10-17_14:25      21      21
2022-10-17_13:45    2022-10-17_14:30      20      20
2022-10-17_13:50    2022-10-17_14:35      18      18
2022-10-17_13:55    2022-10-17_14:40      17      17
2022-10-17_14:00    2022-10-17_14:45      18      17
2022-10-17_14:05    2022-10-17_14:50      21      20
2022-10-17_14:10    2022-10-17_14:55      24      23
2022-10-17_14:15    2022-10-17_15:00      26      26
2022-10-17_14:20    2022-10-17_15:05      28      27
2022-10-17_14:25    2022-10-17_15:09      29      28
2022-10-17_14:30    2022-10-17_15:14      31      30
2022-10-17_14:35    2022-10-17_15:19      32      31
2022-10-17_14:40    2022-10-17_15:24      33      32
2022-10-17_14:45    2022-10-17_15:29      32      31
2022-10-17_14:50    2022-10-17_15:34      30      29
2022-10-17_14:55    2022-10-17_15:39      27      26
2022-10-17_15:00    2022-10-17_15:43      24      23
2022-10-17_15:05    2022-10-17_15:48      21      21
2022-10-17_15:10    2022-10-17_15:53      20      19
2022-10-17_15:15    2022-10-17_15:58      21      20
2022-10-17_15:20    2022-10-17_16:03      21      20
2022-10-17_15:25    2022-10-17_16:08      21      21
2022-10-17_15:30    2022-10-17_16:14      22      22
2022-10-17_15:35    2022-10-17_16:19      23      22
2022-10-17_15:40    2022-10-17_16:24      23      22
2022-10-17_15:45    2022-10-17_16:29      22      21
2022-10-17_15:50    2022-10-17_16:34      20      20
2022-10-17_15:55    2022-10-17_16:39      18      18
2022-10-17_16:00    2022-10-17_16:44      17      16
2022-10-17_16:05    2022-10-17_16:49      15      15
2022-10-17_16:10    2022-10-17_16:54      15      15
2022-10-17_16:15    2022-10-17_16:59      16      15
2022-10-17_16:20    2022-10-17_17:04      16      16
